unit_id,unit_type,agency,dispatch_group,beat,station_id,pair_unit_id,default_attributes,default_m_skill,typical_als_equipment,attribute_source
MCU429,MCU,FIRE,F1,429,429,,,0,,Unknown / not modeled
MCU435,MCU,FIRE,F1,435,435,,,0,,Unknown / not modeled
MCU442,MCU,FIRE,F1,442,442,,,0,,Unknown / not modeled
MCU603,MCUOJ,FIRE,F1,603,603,,,0,,Unknown / not modeled
MCU615,MCUOJ,FIRE,F1,615,615,,,0,,Unknown / not modeled
MCU841,MCUOJ,FIRE,F1,841,841,,,0,,Unknown / not modeled
MCU855,MCUOJ,FIRE,F1,855,855,,,0,,Unknown / not modeled
MD100,OMD,FIRE,F1,100,100,,,0,,Unknown / not modeled
MD116,OMD,FIRE,F1,100,100,,,0,,Unknown / not modeled
MD600,OMD,FIRE,F1,600,600,,,0,,Unknown / not modeled
MD601,OMD,FIRE,F1,600,600,,,0,,Unknown / not modeled
MD602,OMD,FIRE,F1,600,600,,,0,,Unknown / not modeled
MDU427,MDU,FIRE,F1,427,427,,,0,,Unknown / not modeled
MDU434,MDU,FIRE,F1,434,434,,,0,,Unknown / not modeled
MDU600,MDU,FIRE,F1,600,600,,,0,,Unknown / not modeled
MDU619,MDU,FIRE,F1,619,619,,,0,,Unknown / not modeled
METRO800,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MH800,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MH800B,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MP824,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MP828,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MP833,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MP837,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MP855,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
MSCU603,MCU,FIRE,F1,603,603,,,0,,Unknown / not modeled
MSU102,MS,FIRE,F1,109,109,,,0,,Unknown / not modeled
MSU722,MCUOJ,FIRE,F1,722,722,,,0,,Unknown / not modeled
MSU726,MCUOJ,FIRE,F1,726,726,,,0,,Unknown / not modeled
MVU512,ADM,FIRE,F1,512,512,,,0,,Unknown / not modeled
NEMS800,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
NOVEC,ADM,FIRE,F1,400,400,,,0,,Unknown / not modeled
O600,DCOJ,FIRE,F1,622,622,,,0,,Unknown / not modeled
O600B,DCOJ,FIRE,F1,600,600,,,0,,Unknown / not modeled
O610,DCOJ,FIRE,F1,600,600,,,0,,Unknown / not modeled
O611,DCOJ,FIRE,F1,600,600,,,0,,Unknown / not modeled
O612,DCOJ,FIRE,F1,600,600,,,0,,Unknown / not modeled
O613,DCOJ,FIRE,F1,600,600,,,0,,Unknown / not modeled
OAIDE600,ADM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OD800,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
ODA,OPS,FIRE,F1,400,HM,,,0,,Unknown / not modeled
ODA800,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
ODAA,OPS,FIRE,F1,400,HM,,,0,,Unknown / not modeled
ODAB,OPS,FIRE,F1,400,HM,,,0,,Unknown / not modeled
ODAC,OPS,FIRE,F1,400,HM,,,0,,Unknown / not modeled
ODAO,OPS,FIRE,F1,400,HM,,,0,,Unknown / not modeled
OEM401,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM402,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM403,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM404,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM405,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM406,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM407,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM408,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM409,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM410,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OEM501,OEM,FIRE,F1,501,501,,,0,,Unknown / not modeled
OEM502,OEM,FIRE,F1,502,502,,,0,,Unknown / not modeled
OEM503,OEM,FIRE,F1,503,503,,,0,,Unknown / not modeled
OEM504,OEM,FIRE,F1,504,504,,,0,,Unknown / not modeled
OEM505,OEM,FIRE,F1,505,505,,,0,,Unknown / not modeled
OEM506,OEM,FIRE,F1,506,506,,,0,,Unknown / not modeled
OEM600,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM601,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM602,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM603,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM604,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM605,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM606,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM607,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM608,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM609,OEM,FIRE,F1,600,600,,,0,,Unknown / not modeled
OEM800,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM801,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM802,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM803,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM804,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM890,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM891,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM892,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM893,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM894,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM895,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEM896,OEM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OEMDUTY,OEM,FIRE,F1,400,PSTOC,,,0,,Unknown / not modeled
OHS800,ADM,FIRE,F1,800,800,,,0,,Unknown / not modeled
OMD,OMD,FIRE,F1,400,HM,,,0,,Unknown / not modeled
OMD401,OMD,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OMD402,OMD,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OMD600B,OMD,FIRE,F1,600,600,,,0,,Unknown / not modeled
OMD800,OMD,FIRE,F1,800,800,,,0,,Unknown / not modeled
OP502,ADM,FIRE,F1,502,502,,,0,,Unknown / not modeled
OP503,ADM,FIRE,F1,503,503,,,0,,Unknown / not modeled
OP504,ADM,FIRE,F1,504,504,,,0,,Unknown / not modeled
OP506,ADM,FIRE,F1,506,506,,,0,,Unknown / not modeled
OP508,ADM,FIRE,F1,508,508,,,0,,Unknown / not modeled
OP510,ADM,FIRE,F1,510,510,,,0,,Unknown / not modeled
OP518,ADM,FIRE,F1,518,518,,,0,,Unknown / not modeled
OP519,ADM,FIRE,F1,519,519,,,0,,Unknown / not modeled
OPCHF100,ADM,FIRE,F1,100,100,,,0,,Unknown / not modeled
OPS401,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS402,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS403,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS404,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS405,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS406,OPS,FIRE,F1,444,444,,,0,,Unknown / not modeled
OPS407,ADM,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS408,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS409,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS410,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS411,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS412,OPS,FIRE,F1,HQF,HQF,,,0,,Unknown / not modeled
OPS430,OPS,FIRE,F1,430,430,,,0,,Unknown / not modeled
OPS500,ADM,FIRE,F1,500,500,,,0,,Unknown / not modeled
OPS501,ADM,FIRE,F1,501,501,,,0,,Unknown / not modeled
OPSAC900,ADM,FIRE,F1,900,900,,,0,,Unknown / not modeled
OPSDC900,ADM,FIRE,F1,900,900,,,0,,Unknown / not modeled
P210,ADM,FIRE,F1,210,210,,,0,,Unknown / not modeled
PA801,M,FIRE,F1,801,801,,,0,,Unknown / not modeled
PA801B,M,FIRE,F1,801,801,,,0,,Unknown / not modeled
PA802,M,FIRE,F1,802,802,,,0,,Unknown / not modeled
PA805,M,FIRE,F1,805,805,,,0,,Unknown / not modeled
PA806,M,FIRE,F1,806,806,,,0,,Unknown / not modeled
PA807,M,FIRE,F1,807,807,,,0,,Unknown / not modeled
PA808,M,FIRE,F1,808,808,,,0,,Unknown / not modeled
PA809,M,FIRE,F1,809,809,,,0,,Unknown / not modeled
PA810,M,FIRE,F1,810,810,,,0,,Unknown / not modeled
PA811,M,FIRE,F1,811,811,,,0,,Unknown / not modeled
PA811B,M,FIRE,F1,811,811,,,0,,Unknown / not modeled
PA812,M,FIRE,F1,812,812,,,0,,Unknown / not modeled
PA812B,M,FIRE,F1,812,812,,,0,,Unknown / not modeled
PA813,M,FIRE,F1,813,813,,,0,,Unknown / not modeled
PA814,M,FIRE,F1,814,814,,,0,,Unknown / not modeled
PA814B,M,FIRE,F1,814,814,,,0,,Unknown / not modeled
PA816,M,FIRE,F1,816,816,,,0,,Unknown / not modeled
PA817,M,FIRE,F1,817,817,,,0,,Unknown / not modeled
PA818,M,FIRE,F1,818,818,,,0,,Unknown / not modeled
PA819,M,FIRE,F1,819,819,,,0,,Unknown / not modeled
PA820,M,FIRE,F1,820,820,,,0,,Unknown / not modeled
